Tên văn phòng đại diện,Ngày cấp,Ngày hết hạn,Quốc gia,Điện thoại VPDD,Địa chỉ,Tên trưởng đại diện,Quốc tịch,Số giấy phép,Ngày cấp phép,Ngày giấy phép hết hạn,Lĩnh vực hoạt động,Tên công ty mẹ,Địa chỉ van phong chinh,Điện thoại VPDD Chinh,Năm thành lập,Nơi ĐKTL,"Bang, Tỉnh, TP",Vốn điều lệ
MJL SERVICES PTE. LTD,2018-12-03 16:47:25.143,2023-12-03 00:00:00.0,Singapore,,"H3, 1, 384 , Hoàng Diệu, phường 6, quận 4, thành phố Hồ Chí Minh, Việt Nam",LOW HERNG TECK,Singapore,"79-05282-01
Thương mại",2018-12-03 16:47:25.143,2023-12-03 00:00:00.0,"Thương mại : Phần cứng máy tính,",MJL Services Pte. Ltd,"621 Aljunied Road, #03-08, Lipo Building, Singapore (389834)",006567432038,0,Singapore,,0 USD
"TECHNOSTAR CO., LTD.",2018-12-03 08:22:28.59,2023-12-03 00:00:00.0,Việt Nam,,"Sabay Tower, , Tầng 5, 288 - 290, Phạm Văn Hai, phường 5, quận Tân Bình, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Tấn Hội,Việt Nam,"79-05281-01
Thương mại",2018-12-03 08:22:28.59,2023-12-03 00:00:00.0,"Thương mại : Phần cứng máy tính,","TechnoStar Co., Ltd.","1-1, Akasaka 7-Chome, Minato - ku, Tokyo, Japan",,0,Nhật Bản,,0 USD
PYN ASIA RESEARCH LIMITED,2018-11-29 14:41:33.892,2023-11-29 00:00:00.0,Việt Nam,,"4607, Tòa nhà Bitexco Financial, 46, số 2, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Lê Hoàng Mai,Việt Nam,"79-05279-01
Dịch vụ",2018-11-29 14:41:33.892,2023-11-29 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",PYN Asia Research Limited,"No. 87 M Thai Tower Building, 19th Floor, All Season Place, Wireless Road, Lumpini Sub-district, Pathum Wan District, Bangkok Metropolis, Thailand",6626543050,0,Việt Nam,,0 USD
"MARKKU KAURIALA LTD, FIRE ENGINEERING AND FIRE SAFETY DESIGN CONSULTANTS",2018-11-29 15:25:52.81,2023-11-29 00:00:00.0,Việt Nam,,"286/23, Tô Hiến Thành, phường 15, quận 10, thành phố Hồ Chí Minh, Việt Nam",Trang Trung Sơn,Việt Nam,"79-05280-01
Dịch vụ",2018-11-29 15:25:52.81,2023-11-29 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,","Markku Kauriala Ltd, Fire Engineering And Fire Safety Design Consultants","Radiomiehenkatu 33 B 20320 Turku, Finland",+358753265600,0,Phần Lan,,0 USD
FORIMPEX INC.,2018-11-28 18:53:06.046,2023-11-28 00:00:00.0,Việt Nam,,"102, 1, 91, Nguyễn Văn Thủ, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Đỗ Ngọc Hoàng,Việt Nam,"79-05278-01
Thương mại",2018-11-28 18:53:06.046,2023-11-28 00:00:00.0,"Thương mại : Hàng tiêu dùng,",Forimpex Inc.,"200A 34e Rue Notre-Dame-des-Pin (Québec) G0M1K0, Canada",,0,Canada,,0 USD
RICHELL CORPORATION,2018-11-26 16:30:25.805,2023-11-26 00:00:00.0,Nhật Bản,,"Phòng S3.1, Saigon Trade Center, 31, số 37, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Kubota Katsuhiko,Nhật Bản,"79-05277-01
Thương mại",2018-11-26 16:30:25.805,2023-11-26 00:00:00.0,"Thương mại : Kinh doanh tổng hợp,",Richell Corporation,"136 Mizuhashi Sakuragi, Toyama, 939-0592 Japan",0081764782155,0,Nhật Bản,,0 USD
BORDEN COMPANY (PRIVATE) LIMITED,2018-11-19 09:25:29.444,,Việt Nam,,"L14-08B, Khu Cao ốc Văn phòng, tòa nhà Vincom Center,, 72 Lê Thánh Tôn và 45A Lý Tự Trọng,, phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",Nguyễn Thành Ba,Việt Nam,"79-05276-01
Thương mại",2018-11-19 09:25:29.444,,"Thương mại : Dược phẩm, thuốc tây,",Borden Company (Private) Limited,"9 Jalan Kilang #07-01, Borden Centre, Singapore (159409)",62726022,0,Singapore,,0 USD
MISS MONEYPENNY TECHNOLOGIES UG (HAFTUNGSBESCHRÄNKT),2018-11-16 11:19:25.09,2023-11-16 00:00:00.0,Việt Nam,,"600 và 602, Trung tâm Văn hóa Đa Năng, 6, số 62, Trần Quang Khải, phường Tân Định, quận 1, thành phố Hồ Chí Minh, Việt Nam",Trần Thanh Danh,Việt Nam,"79-05274-01
Thương mại",2018-11-16 11:19:25.09,2023-11-16 00:00:00.0,"Thương mại : Phần cứng máy tính,",Miss Moneypenny Technologies UG (haftungsbeschränkt),"Brunnenstraße 141, 10115 Berlin, Germany",+49 0 30 789 57 540,0,Đức,,0 USD
WONG &amp; OUYANG (HK) LTD,2018-11-16 17:06:01.857,2021-11-12 00:00:00.0,Canada,,"Một phần tầng 7, 60, Nguyễn Văn Thủ, phường Đa Kao, quận 1, thành phố Hồ Chí Minh, Việt Nam",Sui Chee Ling,Canada,"79-05275-01
Dịch vụ",2018-11-16 17:06:01.857,2021-11-12 00:00:00.0,"Dịch vụ : Bảo trì, giám định, tư vấn, thiết kế,",Wong &amp; Ouyang (HK) Ltd,"27/F, Dorset House, Taikoo Place, 979 King's Road, Hong Kong",,0,Hồng Kông,,0 USD
"DIAMIC CO., LTD.",2018-11-13 16:18:37.699,2023-11-13 00:00:00.0,Nhật Bản,,"Phòng 57, tầng 21, Vietcombank Tower, số 5 Công trường Mê Linh, , phường Bến Nghé, quận 1, thành phố Hồ Chí Minh, Việt Nam",NARITA TOMOYASU,Nhật Bản,"79-05272-01
Thương mại",2018-11-13 16:18:37.699,2023-11-13 00:00:00.0,"Thương mại : Nguyên, nhiên vật liệu,","Diamic Co., Ltd.","2-10-14, Ryogoku, Sumida-ku, Tokyo 130-0026, Nhật Bản",0081356001570,0,Nhật Bản,,0 USD
